category,term,count,genes,,
BP,heart development,54,DLC1,,
BP,heart development,54,NRP2,,
BP,heart development,54,NRP1,,
BP,heart development,54,EDN1,,
BP,heart development,54,PDLIM3,,
BP,heart development,54,GJA1,,
BP,heart development,54,TTN,,
BP,heart development,54,GJA5,,
BP,heart development,54,ZIC3,,
BP,heart development,54,TGFB2,,
BP,heart development,54,CERKL,,
BP,heart development,54,GATA6,,
BP,heart development,54,COL4A3BP,,
BP,heart development,54,GAB1,,
BP,heart development,54,SEMA3C,,
BP,heart development,54,MKL2,,
BP,heart development,54,SLC22A5,,
BP,heart development,54,MB,,
BP,heart development,54,PTPRJ,,
BP,heart development,54,RXRA,,
BP,heart development,54,VANGL2,,
BP,heart development,54,MYH6,,
BP,heart development,54,TNNT2,,
BP,heart development,54,HHEX,,
BP,heart development,54,MURC,,
BP,heart development,54,MIB1,,
BP,heart development,54,FOXC2,,
BP,heart development,54,FOXC1,,
BP,heart development,54,ADAM19,,
BP,heart development,54,MYL2,,
BP,heart development,54,TCAP,,
BP,heart development,54,EGLN1,,
BP,heart development,54,SOX9,,
BP,heart development,54,ITGB1,,
BP,heart development,54,CHD7,,
BP,heart development,54,HEXIM1,,
BP,heart development,54,PKD2,,
BP,heart development,54,NFATC4,,
BP,heart development,54,PCSK5,,
BP,heart development,54,ACTC1,,
BP,heart development,54,TGFBR2,,
BP,heart development,54,NF1,,
BP,heart development,54,HSPG2,,
BP,heart development,54,SMAD3,,
BP,heart development,54,TBX1,,
BP,heart development,54,TNNI3,,
BP,heart development,54,CSRP3,,
BP,heart development,54,FOXP1,,
BP,heart development,54,KCNJ8,,
BP,heart development,54,PLN,,
BP,heart development,54,TSC2,,
BP,heart development,54,ATP6V0A1,,
BP,heart development,54,TGFBR3,,
BP,heart development,54,HDAC9,,
BP,blood vessel development,55,GNA13,,
BP,blood vessel development,55,ACVRL1,,
BP,blood vessel development,55,NRP1,,
BP,blood vessel development,55,PGF,,
BP,blood vessel development,55,IL18,,
BP,blood vessel development,55,LEPR,,
BP,blood vessel development,55,EDN1,,
BP,blood vessel development,55,GJA1,,
BP,blood vessel development,55,FOXO1,,
BP,blood vessel development,55,GJA5,,
BP,blood vessel development,55,TGFB2,,
BP,blood vessel development,55,WARS,,
BP,blood vessel development,55,CERKL,,
BP,blood vessel development,55,APOE,,
BP,blood vessel development,55,CXCR4,,
BP,blood vessel development,55,ANG,,
BP,blood vessel development,55,SEMA3C,,
BP,blood vessel development,55,NOS2,,
BP,blood vessel development,55,MKL2,,
BP,blood vessel development,55,FGF2,,
BP,blood vessel development,55,RAPGEF1,,
BP,blood vessel development,55,PTPRJ,,
BP,blood vessel development,55,RECK,,
BP,blood vessel development,55,VASH1,,
BP,blood vessel development,55,PNPLA6,,
BP,blood vessel development,55,THY1,,
BP,blood vessel development,55,MIB1,,
BP,blood vessel development,55,NUS1,,
BP,blood vessel development,55,FOXC2,,
BP,blood vessel development,55,FOXC1,,
BP,blood vessel development,55,CAV1,,
BP,blood vessel development,55,CDH2,,
BP,blood vessel development,55,MEIS1,,
BP,blood vessel development,55,WT1,,
BP,blood vessel development,55,CDH5,,
BP,blood vessel development,55,PTK2,,
BP,blood vessel development,55,FBXW8,,
BP,blood vessel development,55,CHD7,,
BP,blood vessel development,55,PLCD1,,
BP,blood vessel development,55,PLXND1,,
BP,blood vessel development,55,FIGF,,
BP,blood vessel development,55,PPAP2B,,
BP,blood vessel development,55,MAP2K1,,
BP,blood vessel development,55,TBX4,,
BP,blood vessel development,55,TGFBR2,,
BP,blood vessel development,55,NF1,,
BP,blood vessel development,55,TBX1,,
BP,blood vessel development,55,TNNI3,,
BP,blood vessel development,55,LAMA4,,
BP,blood vessel development,55,MEOX2,,
BP,blood vessel development,55,ECSCR,,
BP,blood vessel development,55,HBEGF,,
BP,blood vessel development,55,AMOT,,
BP,blood vessel development,55,TGFBR3,,
BP,blood vessel development,55,HDAC7,,
BP,vasculature development,56,GNA13,,
BP,vasculature development,56,ACVRL1,,
BP,vasculature development,56,NRP1,,
BP,vasculature development,56,PGF,,
BP,vasculature development,56,IL18,,
BP,vasculature development,56,LEPR,,
BP,vasculature development,56,EDN1,,
BP,vasculature development,56,GJA1,,
BP,vasculature development,56,FOXO1,,
BP,vasculature development,56,GJA5,,
BP,vasculature development,56,TGFB2,,
BP,vasculature development,56,WARS,,
BP,vasculature development,56,CERKL,,
BP,vasculature development,56,APOE,,
BP,vasculature development,56,CXCR4,,
BP,vasculature development,56,ANG,,
BP,vasculature development,56,SEMA3C,,
BP,vasculature development,56,NOS2,,
BP,vasculature development,56,MKL2,,
BP,vasculature development,56,FGF2,,
BP,vasculature development,56,RAPGEF1,,
BP,vasculature development,56,PTPRJ,,
BP,vasculature development,56,RECK,,
BP,vasculature development,56,EFNB2,,
BP,vasculature development,56,VASH1,,
BP,vasculature development,56,PNPLA6,,
BP,vasculature development,56,THY1,,
BP,vasculature development,56,MIB1,,
BP,vasculature development,56,NUS1,,
BP,vasculature development,56,FOXC2,,
BP,vasculature development,56,FOXC1,,
BP,vasculature development,56,CAV1,,
BP,vasculature development,56,CDH2,,
BP,vasculature development,56,MEIS1,,
BP,vasculature development,56,WT1,,
BP,vasculature development,56,CDH5,,
BP,vasculature development,56,PTK2,,
BP,vasculature development,56,FBXW8,,
BP,vasculature development,56,CHD7,,
BP,vasculature development,56,PLCD1,,
BP,vasculature development,56,PLXND1,,
BP,vasculature development,56,FIGF,,
BP,vasculature development,56,PPAP2B,,
BP,vasculature development,56,MAP2K1,,
BP,vasculature development,56,TBX4,,
BP,vasculature development,56,TGFBR2,,
BP,vasculature development,56,NF1,,
BP,vasculature development,56,TBX1,,
BP,vasculature development,56,TNNI3,,
BP,vasculature development,56,LAMA4,,
BP,vasculature development,56,MEOX2,,
BP,vasculature development,56,ECSCR,,
BP,vasculature development,56,HBEGF,,
BP,vasculature development,56,AMOT,,
BP,vasculature development,56,TGFBR3,,
BP,vasculature development,56,HDAC7,,
BP,tissue morphogenesis,51,DLC1,,
BP,tissue morphogenesis,51,ENAH,,
BP,tissue morphogenesis,51,NRP1,,
BP,tissue morphogenesis,51,PGF,,
BP,tissue morphogenesis,51,ZIC2,,
BP,tissue morphogenesis,51,TGFB2,,
BP,tissue morphogenesis,51,CD44,,
BP,tissue morphogenesis,51,ILK,,
BP,tissue morphogenesis,51,SEMA3C,,
BP,tissue morphogenesis,51,RET,,
BP,tissue morphogenesis,51,AR,,
BP,tissue morphogenesis,51,RXRA,,
BP,tissue morphogenesis,51,VANGL2,,
BP,tissue morphogenesis,51,LEF1,,
BP,tissue morphogenesis,51,TNNT2,,
BP,tissue morphogenesis,51,HHEX,,
BP,tissue morphogenesis,51,MIB1,,
BP,tissue morphogenesis,51,NCOA3,,
BP,tissue morphogenesis,51,FOXC2,,
BP,tissue morphogenesis,51,FOXC1,,
BP,tissue morphogenesis,51,TGFB1I1,,
BP,tissue morphogenesis,51,WNT5A,,
BP,tissue morphogenesis,51,COBL,,
BP,tissue morphogenesis,51,BBS4,,
BP,tissue morphogenesis,51,FGFR3,,
BP,tissue morphogenesis,51,TNC,,
BP,tissue morphogenesis,51,BMPR2,,
BP,tissue morphogenesis,51,CTNND1,,
BP,tissue morphogenesis,51,EGLN1,,
BP,tissue morphogenesis,51,NR3C1,,
BP,tissue morphogenesis,51,SOX9,,
BP,tissue morphogenesis,51,TCF7L1,,
BP,tissue morphogenesis,51,IGF1R,,
BP,tissue morphogenesis,51,FOXQ1,,
BP,tissue morphogenesis,51,MACF1,,
BP,tissue morphogenesis,51,HOXA5,,
BP,tissue morphogenesis,51,BCL2,,
BP,tissue morphogenesis,51,PLXND1,,
BP,tissue morphogenesis,51,CAR2,,
BP,tissue morphogenesis,51,ACTC1,,
BP,tissue morphogenesis,51,TBX4,,
BP,tissue morphogenesis,51,SMAD3,,
BP,tissue morphogenesis,51,FZD3,,
BP,tissue morphogenesis,51,SHANK3,,
BP,tissue morphogenesis,51,FZD6,,
BP,tissue morphogenesis,51,HOXB4,,
BP,tissue morphogenesis,51,FREM2,,
BP,tissue morphogenesis,51,TSC2,,
BP,tissue morphogenesis,51,ZIC5,,
BP,tissue morphogenesis,51,TGFBR3,,
BP,tissue morphogenesis,51,APAF1,,
BP,blood vessel morphogenesis,43,GNA13,,
BP,blood vessel morphogenesis,43,CAV1,,
BP,blood vessel morphogenesis,43,ACVRL1,,
BP,blood vessel morphogenesis,43,NRP1,,
BP,blood vessel morphogenesis,43,PGF,,
BP,blood vessel morphogenesis,43,IL18,,
BP,blood vessel morphogenesis,43,LEPR,,
BP,blood vessel morphogenesis,43,EDN1,,
BP,blood vessel morphogenesis,43,GJA1,,
BP,blood vessel morphogenesis,43,CDH2,,
BP,blood vessel morphogenesis,43,MEIS1,,
BP,blood vessel morphogenesis,43,WT1,,
BP,blood vessel morphogenesis,43,TGFB2,,
BP,blood vessel morphogenesis,43,WARS,,
BP,blood vessel morphogenesis,43,PTK2,,
BP,blood vessel morphogenesis,43,CERKL,,
BP,blood vessel morphogenesis,43,APOE,,
BP,blood vessel morphogenesis,43,CXCR4,,
BP,blood vessel morphogenesis,43,ANG,,
BP,blood vessel morphogenesis,43,SEMA3C,,
BP,blood vessel morphogenesis,43,PLCD1,,
BP,blood vessel morphogenesis,43,NOS2,,
BP,blood vessel morphogenesis,43,MKL2,,
BP,blood vessel morphogenesis,43,PLXND1,,
BP,blood vessel morphogenesis,43,FIGF,,
BP,blood vessel morphogenesis,43,FGF2,,
BP,blood vessel morphogenesis,43,PTPRJ,,
BP,blood vessel morphogenesis,43,TGFBR2,,
BP,blood vessel morphogenesis,43,TBX4,,
BP,blood vessel morphogenesis,43,NF1,,
BP,blood vessel morphogenesis,43,TBX1,,
BP,blood vessel morphogenesis,43,TNNI3,,
BP,blood vessel morphogenesis,43,PNPLA6,,
BP,blood vessel morphogenesis,43,VASH1,,
BP,blood vessel morphogenesis,43,THY1,,
BP,blood vessel morphogenesis,43,NUS1,,
BP,blood vessel morphogenesis,43,MEOX2,,
BP,blood vessel morphogenesis,43,ECSCR,,
BP,blood vessel morphogenesis,43,AMOT,,
BP,blood vessel morphogenesis,43,HBEGF,,
BP,blood vessel morphogenesis,43,FOXC2,,
BP,blood vessel morphogenesis,43,FOXC1,,
BP,blood vessel morphogenesis,43,HDAC7,,
BP,regulation of hydrolase activity,42,CAV1,,
BP,regulation of hydrolase activity,42,XIAP,,
BP,regulation of hydrolase activity,42,AGFG1,,
BP,regulation of hydrolase activity,42,ADORA2A,,
BP,regulation of hydrolase activity,42,TNNC1,,
BP,regulation of hydrolase activity,42,TBC1D9,,
BP,regulation of hydrolase activity,42,LEPR,,
BP,regulation of hydrolase activity,42,ABHD5,,
BP,regulation of hydrolase activity,42,EDN1,,
BP,regulation of hydrolase activity,42,ASAP2,,
BP,regulation of hydrolase activity,42,ASAP3,,
BP,regulation of hydrolase activity,42,SMAP1,,
BP,regulation of hydrolase activity,42,TBC1D12,,
BP,regulation of hydrolase activity,42,ANG,,
BP,regulation of hydrolase activity,42,TBC1D14,,
BP,regulation of hydrolase activity,42,MTCH1,,
BP,regulation of hydrolase activity,42,TBC1D13,,
BP,regulation of hydrolase activity,42,TBC1D4,,
BP,regulation of hydrolase activity,42,TBC1D30,,
BP,regulation of hydrolase activity,42,DHCR24,,
BP,regulation of hydrolase activity,42,HIP1,,
BP,regulation of hydrolase activity,42,VAV3,,
BP,regulation of hydrolase activity,42,NOS1,,
BP,regulation of hydrolase activity,42,NF1,,
BP,regulation of hydrolase activity,42,MYH6,,
BP,regulation of hydrolase activity,42,RICTOR,,
BP,regulation of hydrolase activity,42,TBC1D22A,,
BP,regulation of hydrolase activity,42,THY1,,
BP,regulation of hydrolase activity,42,PLCE1,,
BP,regulation of hydrolase activity,42,RNF7,,
BP,regulation of hydrolase activity,42,NDEL1,,
BP,regulation of hydrolase activity,42,CHML,,
BP,regulation of hydrolase activity,42,IFT57,,
BP,regulation of hydrolase activity,42,ACAP2,,
BP,regulation of hydrolase activity,42,TSC2,,
BP,regulation of hydrolase activity,42,ERN1,,
BP,regulation of hydrolase activity,42,APAF1,,
BP,regulation of hydrolase activity,42,ARAP3,,
BP,regulation of hydrolase activity,42,ARAP2,,
BP,regulation of hydrolase activity,42,ARAP1,,
BP,regulation of hydrolase activity,42,HTR2A,,
BP,regulation of hydrolase activity,42,F2R,,
BP,cardiac muscle tissue development,19,ACTC1,,
BP,cardiac muscle tissue development,19,MYL2,,
BP,cardiac muscle tissue development,19,RXRA,,
BP,cardiac muscle tissue development,19,HSPG2,,
BP,cardiac muscle tissue development,19,EGLN1,,
BP,cardiac muscle tissue development,19,MYH6,,
BP,cardiac muscle tissue development,19,TTN,,
BP,cardiac muscle tissue development,19,ITGB1,,
BP,cardiac muscle tissue development,19,CSRP3,,
BP,cardiac muscle tissue development,19,FOXP1,,
BP,cardiac muscle tissue development,19,TGFB2,,
BP,cardiac muscle tissue development,19,TNNT2,,
BP,cardiac muscle tissue development,19,MURC,,
BP,cardiac muscle tissue development,19,GATA6,,
BP,cardiac muscle tissue development,19,PLN,,
BP,cardiac muscle tissue development,19,FOXC2,,
BP,cardiac muscle tissue development,19,TGFBR3,,
BP,cardiac muscle tissue development,19,FOXC1,,
BP,cardiac muscle tissue development,19,MKL2,,
BP,regulation of phosphorylation,55,EDN1,,
BP,regulation of phosphorylation,55,TGFB3,,
BP,regulation of phosphorylation,55,TIRAP,,
BP,regulation of phosphorylation,55,PRDX2,,
BP,regulation of phosphorylation,55,TLR4,,
BP,regulation of phosphorylation,55,PDCD4,,
BP,regulation of phosphorylation,55,SPRY4,,
BP,regulation of phosphorylation,55,PRKAR2B,,
BP,regulation of phosphorylation,55,MAP3K5,,
BP,regulation of phosphorylation,55,NDUFS4,,
BP,regulation of phosphorylation,55,CERKL,,
BP,regulation of phosphorylation,55,MDFIC,,
BP,regulation of phosphorylation,55,IFNG,,
BP,regulation of phosphorylation,55,GAB1,,
BP,regulation of phosphorylation,55,SPRED1,,
BP,regulation of phosphorylation,55,RAPGEF3,,
BP,regulation of phosphorylation,55,CEACAM2,,
BP,regulation of phosphorylation,55,FGF2,,
BP,regulation of phosphorylation,55,LYN,,
BP,regulation of phosphorylation,55,CCDC88C,,
BP,regulation of phosphorylation,55,PKIG,,
BP,regulation of phosphorylation,55,THY1,,
BP,regulation of phosphorylation,55,ACVR2A,,
BP,regulation of phosphorylation,55,PLCE1,,
BP,regulation of phosphorylation,55,HIPK3,,
BP,regulation of phosphorylation,55,CD81,,
BP,regulation of phosphorylation,55,ERN1,,
BP,regulation of phosphorylation,55,NRK,,
BP,regulation of phosphorylation,55,GADD45A,,
BP,regulation of phosphorylation,55,CAV1,,
BP,regulation of phosphorylation,55,TNF,,
BP,regulation of phosphorylation,55,FGFR3,,
BP,regulation of phosphorylation,55,ADORA2A,,
BP,regulation of phosphorylation,55,BMPR2,,
BP,regulation of phosphorylation,55,KIT,,
BP,regulation of phosphorylation,55,CD24A,,
BP,regulation of phosphorylation,55,INPP5K,,
BP,regulation of phosphorylation,55,HEXIM1,,
BP,regulation of phosphorylation,55,DGKD,,
BP,regulation of phosphorylation,55,BCL2,,
BP,regulation of phosphorylation,55,VAV3,,
BP,regulation of phosphorylation,55,MAP2K1,,
BP,regulation of phosphorylation,55,HCLS1,,
BP,regulation of phosphorylation,55,TGFBR2,,
BP,regulation of phosphorylation,55,NF1,,
BP,regulation of phosphorylation,55,DGKH,,
BP,regulation of phosphorylation,55,RICTOR,,
BP,regulation of phosphorylation,55,CDKN1C,,
BP,regulation of phosphorylation,55,SH3BP5,,
BP,regulation of phosphorylation,55,TSC2,,
BP,regulation of phosphorylation,55,FABP4,,
BP,regulation of phosphorylation,55,LRP8,,
BP,regulation of phosphorylation,55,IGFBP3,,
BP,regulation of phosphorylation,55,HTR2A,,
BP,regulation of phosphorylation,55,F2R,,
BP,regulation of Ras protein signal transduction,39,AGFG1,,
BP,regulation of Ras protein signal transduction,39,TBC1D9,,
BP,regulation of Ras protein signal transduction,39,CYTH1,,
BP,regulation of Ras protein signal transduction,39,ASAP2,,
BP,regulation of Ras protein signal transduction,39,ITPKB,,
BP,regulation of Ras protein signal transduction,39,CYTH3,,
BP,regulation of Ras protein signal transduction,39,ASAP3,,
BP,regulation of Ras protein signal transduction,39,ITSN1,,
BP,regulation of Ras protein signal transduction,39,TTN,,
BP,regulation of Ras protein signal transduction,39,MCF2L,,
BP,regulation of Ras protein signal transduction,39,PLEKHG3,,
BP,regulation of Ras protein signal transduction,39,PLEKHG2,,
BP,regulation of Ras protein signal transduction,39,SMAP1,,
BP,regulation of Ras protein signal transduction,39,TBC1D12,,
BP,regulation of Ras protein signal transduction,39,TIAM1,,
BP,regulation of Ras protein signal transduction,39,RASGRP4,,
BP,regulation of Ras protein signal transduction,39,SOS1,,
BP,regulation of Ras protein signal transduction,39,TBC1D14,,
BP,regulation of Ras protein signal transduction,39,TBC1D13,,
BP,regulation of Ras protein signal transduction,39,TBC1D4,,
BP,regulation of Ras protein signal transduction,39,TBC1D30,,
BP,regulation of Ras protein signal transduction,39,FGD6,,
BP,regulation of Ras protein signal transduction,39,NET1,,
BP,regulation of Ras protein signal transduction,39,VAV3,,
BP,regulation of Ras protein signal transduction,39,ARHGEF7,,
BP,regulation of Ras protein signal transduction,39,ARHGEF6,,
BP,regulation of Ras protein signal transduction,39,NF1,,
BP,regulation of Ras protein signal transduction,39,ARHGEF15,,
BP,regulation of Ras protein signal transduction,39,RICTOR,,
BP,regulation of Ras protein signal transduction,39,TBC1D22A,,
BP,regulation of Ras protein signal transduction,39,FARP1,,
BP,regulation of Ras protein signal transduction,39,PLCE1,,
BP,regulation of Ras protein signal transduction,39,NDEL1,,
BP,regulation of Ras protein signal transduction,39,RASGRF2,,
BP,regulation of Ras protein signal transduction,39,ACAP2,,
BP,regulation of Ras protein signal transduction,39,TNK1,,
BP,regulation of Ras protein signal transduction,39,ARAP3,,
BP,regulation of Ras protein signal transduction,39,ARAP2,,
BP,regulation of Ras protein signal transduction,39,ARAP1,,
BP,phosphorylation,109,STK33,,
BP,phosphorylation,109,STK38,,
BP,phosphorylation,109,TIRAP,,
BP,phosphorylation,109,TGFB3,,
BP,phosphorylation,109,PRKG1,,
BP,phosphorylation,109,TTN,,
BP,phosphorylation,109,C230081A13RIK,,
BP,phosphorylation,109,TGFB2,,
BP,phosphorylation,109,CTTNBP2,,
BP,phosphorylation,109,PRKAR2B,,
BP,phosphorylation,109,MAP3K5,,
BP,phosphorylation,109,MDFIC,,
BP,phosphorylation,109,MAP3K8,,
BP,phosphorylation,109,IFNG,,
BP,phosphorylation,109,ILK,,
BP,phosphorylation,109,GAB1,,
BP,phosphorylation,109,MLKL,,
BP,phosphorylation,109,INSR,,
BP,phosphorylation,109,RET,,
BP,phosphorylation,109,MAP4K3,,
BP,phosphorylation,109,MAP4K4,,
BP,phosphorylation,109,PLCE1,,
BP,phosphorylation,109,PDGFRA,,
BP,phosphorylation,109,MAPK9,,
BP,phosphorylation,109,WNT5A,,
BP,phosphorylation,109,FGFR3,,
BP,phosphorylation,109,STK10,,
BP,phosphorylation,109,BMPR2,,
BP,phosphorylation,109,MAP4K2,,
BP,phosphorylation,109,CHEK2,,
BP,phosphorylation,109,EPHB4,,
BP,phosphorylation,109,EPHB1,,
BP,phosphorylation,109,PTK2,,
BP,phosphorylation,109,ZAP70,,
BP,phosphorylation,109,TEC,,
BP,phosphorylation,109,MAP2K1,,
BP,phosphorylation,109,TAOK3,,
BP,phosphorylation,109,TGFBR2,,
BP,phosphorylation,109,BMX,,
BP,phosphorylation,109,RPS6KL1,,
BP,phosphorylation,109,EPHA7,,
BP,phosphorylation,109,ATP6V0E2,,
BP,phosphorylation,109,ULK1,,
BP,phosphorylation,109,TGFBR3,,
BP,phosphorylation,109,GRK4,,
BP,phosphorylation,109,TNK1,,
BP,phosphorylation,109,GRK5,,
BP,phosphorylation,109,ABL2,,
BP,phosphorylation,109,MYLK,,
BP,phosphorylation,109,SRMS,,
MF,phosphorylation,109,CDK19,,
MF,phosphorylation,109,ATP5E,,
MF,phosphorylation,109,ACVRL1,,
MF,phosphorylation,109,PRDX2,,
MF,phosphorylation,109,FES,,
MF,phosphorylation,109,D8ERTD82E,,
MF,phosphorylation,109,SLK,,
MF,phosphorylation,109,PAK4,,
MF,phosphorylation,109,CDK12,,
MF,phosphorylation,109,PAK1,,
MF,phosphorylation,109,FGF2,,
MF,phosphorylation,109,ATP5H,,
MF,phosphorylation,109,TRPM6,,
MF,phosphorylation,109,SGK1,,
MF,phosphorylation,109,ADAM10,,
MF,phosphorylation,109,LYN,,
MF,phosphorylation,109,LIMK1,,
MF,phosphorylation,109,PIK3C2B,,
MF,phosphorylation,109,DAPK2,,
MF,phosphorylation,109,PRKCB,,
MF,phosphorylation,109,DAPK1,,
MF,phosphorylation,109,PRKD1,,
MF,phosphorylation,109,ACVR2A,,
MF,phosphorylation,109,PRKD2,,
MF,phosphorylation,109,ATP6V1A,,
MF,phosphorylation,109,CCND1,,
MF,phosphorylation,109,MAST2,,
MF,phosphorylation,109,HIPK3,,
MF,phosphorylation,109,CD81,,
MF,phosphorylation,109,ERN1,,
MF,phosphorylation,109,NRK,,
MF,phosphorylation,109,MAP3K12,,
MF,phosphorylation,109,FRK,,
MF,phosphorylation,109,NDUFB8,,
MF,phosphorylation,109,CAMK2G,,
MF,phosphorylation,109,KIT,,
MF,phosphorylation,109,ATP5G3,,
MF,phosphorylation,109,IGF1R,,
MF,phosphorylation,109,GNPTAB,,
MF,phosphorylation,109,BCL2,,
MF,phosphorylation,109,CAMK2D,,
MF,phosphorylation,109,PRKAA2,,
MF,phosphorylation,109,PTPRE,,
MF,phosphorylation,109,PTPRA,,
MF,phosphorylation,109,NDUFA7,,
MF,phosphorylation,109,TRIM28,,
MF,phosphorylation,109,NPR1,,
MF,phosphorylation,109,NPR2,,
MF,phosphorylation,109,TRIM24,,
MF,phosphorylation,109,ICK,,
MF,phosphorylation,109,MAPK12,,
MF,phosphorylation,109,RPS6KA1,,
MF,phosphorylation,109,RPS6KA2,,
MF,phosphorylation,109,FYN,,
MF,phosphorylation,109,GSK3B,,
MF,phosphorylation,109,JAK1,,
MF,phosphorylation,109,ATP6V0A1,,
MF,phosphorylation,109,IGFBP3,,
MF,phosphorylation,109,F2R,,
MF,phosphorus metabolic process,126,STK33,,
MF,phosphorus metabolic process,126,STK38,,
MF,phosphorus metabolic process,126,TGFB3,,
MF,phosphorus metabolic process,126,TIRAP,,
MF,phosphorus metabolic process,126,PRKG1,,
MF,phosphorus metabolic process,126,TTN,,
MF,phosphorus metabolic process,126,C230081A13RIK,,
MF,phosphorus metabolic process,126,TGFB2,,
MF,phosphorus metabolic process,126,CTTNBP2,,
MF,phosphorus metabolic process,126,PRKAR2B,,
MF,phosphorus metabolic process,126,MAP3K5,,
MF,phosphorus metabolic process,126,MDFIC,,
MF,phosphorus metabolic process,126,MAP3K8,,
MF,phosphorus metabolic process,126,IFNG,,
MF,phosphorus metabolic process,126,ILK,,
MF,phosphorus metabolic process,126,GAB1,,
MF,phosphorus metabolic process,126,MLKL,,
MF,phosphorus metabolic process,126,INSR,,
MF,phosphorus metabolic process,126,PTPRJ,,
MF,phosphorus metabolic process,126,PTPRK,,
MF,phosphorus metabolic process,126,RET,,
MF,phosphorus metabolic process,126,MAP4K3,,
MF,phosphorus metabolic process,126,MAP4K4,,
MF,phosphorus metabolic process,126,PLCE1,,
MF,phosphorus metabolic process,126,PDGFRA,,
MF,phosphorus metabolic process,126,MAPK9,,
MF,phosphorus metabolic process,126,WNT5A,,
