GeneNames,value1,value2,log2FC,p-value
LOC_Os06g07780.1,9,19,-1.078002512,0.253678842
LOC_Os06g41930.3,8,17,-1.087462841,0.231613339
LOC_Os08g02410.1,23,49,-1.091147888,0.032592576
LOC_Os04g32650.1,30,64,-1.093109404,0.012743911
LOC_Os11g05552.1,21,45,-1.099535674,0.035856476
LOC_Os01g60440.1,14,30,-1.099535674,0.096030928
LOC_Os02g36974.1,7,15,-1.099535674,0.285261406
LOC_Os02g11740.2,106,228,-1.10496956,1.50E-06
LOC_Os06g04510.2,72,155,-1.106199404,7.60E-05
LOC_Os04g52130.1,26,56,-1.106915204,0.019417126
LOC_Os01g59090.1,13,28,-1.106915204,0.115781938
LOC_Os08g12830.1,18,39,-1.115477217,0.061188285
LOC_Os02g06300.1,12,26,-1.115477217,0.140963391
LOC_Os12g37560.1,6,13,-1.115477217,0.356532274
LOC_Os01g59790.1,17,37,-1.121990524,0.055520458
LOC_Os06g43850.1,11,24,-1.125530882,0.127874806
LOC_Os04g33970.1,16,35,-1.129283017,0.066504376
LOC_Os08g37490.1,37,81,-1.130396637,0.0039258
LOC_Os06g04270.1,115,253,-1.137503524,1.75E-07
LOC_Os02g49080.1,20,44,-1.137503524,0.032537412
LOC_Os09g29190.1,15,33,-1.137503524,0.080412538
LOC_Os03g55970.1,10,22,-1.137503524,0.155072838
LOC_Os02g13530.1,5,11,-1.137503524,0.323708633
LOC_Os02g08120.1,34,75,-1.141355849,0.005006106
LOC_Os07g37030.1,173,382,-1.1428006,8.63E-11
LOC_Os07g47710.1,19,42,-1.144389909,0.038785194
LOC_Os07g42170.1,14,31,-1.146841388,0.072758293
LOC_Os01g60360.1,9,20,-1.152003093,0.190292362
LOC_Os05g25640.1,13,29,-1.157541277,0.087419299
LOC_Os02g30210.2,17,38,-1.160464672,0.042184132
LOC_Os07g08030.1,16,36,-1.169925001,0.050362765
LOC_Os11g06390.1,12,27,-1.169925001,0.106164231
LOC_Os09g29490.1,8,18,-1.169925001,0.171549733
LOC_Os02g44642.1,4,9,-1.169925001,0.407728513
LOC_Os02g09150.1,19,43,-1.178337241,0.02943935
LOC_Os02g32490.2,15,34,-1.180572246,0.060739537
LOC_Os02g42220.1,22,50,-1.184424571,0.017389726
LOC_Os03g52770.1,11,25,-1.184424571,0.095566161
LOC_Os02g50240.1,102,232,-1.185555653,1.42E-07
LOC_Os01g03020.1,18,41,-1.187627003,0.035324697
LOC_Os02g33450.2,28,64,-1.192645078,0.006202931
LOC_Os02g51570.1,14,32,-1.192645078,0.05469507
LOC_Os06g04800.1,7,16,-1.192645078,0.209839193
LOC_Os01g13760.1,65,149,-1.196800707,2.41E-05
LOC_Os03g62630.1,10,23,-1.201633861,0.115278825
LOC_Os08g04450.1,33,76,-1.203533394,0.002669932
LOC_Os03g29950.1,13,30,-1.206450877,0.065418314
LOC_Os03g55720.2,22,51,-1.212993723,0.013155394
LOC_Os08g10510.2,12,28,-1.222392421,0.079145049
LOC_Os02g07790.1,9,21,-1.222392421,0.140841643
LOC_Os12g04290.1,6,14,-1.222392421,0.26075824
LOC_Os03g53510.2,3,7,-1.222392421,0.527657013
LOC_Os12g42090.1,23,54,-1.231325546,0.011181067
LOC_Os02g01150.2,31,73,-1.235628248,0.002154664
LOC_Os11g41820.2,14,33,-1.237039197,0.040818964
LOC_Os03g59640.1,47,111,-1.239827015,0.000152838
LOC_Os01g49290.1,11,26,-1.2410081,0.070776987
LOC_Os04g56400.1,19,45,-1.243925583,0.01666076
LOC_Os04g35240.1,16,38,-1.247927513,0.028274211
LOC_Os03g61990.2,8,19,-1.247927513,0.125554624
LOC_Os03g03510.1,37,88,-1.249978253,0.000801261
LOC_Os01g64170.5,29,69,-1.250543462,0.00301739
LOC_Os04g02050.1,18,43,-1.256339753,0.019846399
LOC_Os07g25430.1,48,115,-1.26052755,7.50E-05
LOC_Os06g43860.4,40,96,-1.263034406,0.000367465
LOC_Os08g37790.1,20,48,-1.263034406,0.014100993
LOC_Os06g15420.1,5,12,-1.263034406,0.231854212
LOC_Os04g39700.1,17,41,-1.270089163,0.02390454
LOC_Os03g11970.1,12,29,-1.273018494,0.058448743
LOC_Os01g19450.1,40,97,-1.277984747,0.000276317
LOC_Os04g39270.1,7,17,-1.280107919,0.152172024
LOC_Os06g02510.1,9,22,-1.289506617,0.102974319
LOC_Os03g12020.1,16,40,-1.321928095,0.015478298
LOC_Os11g04980.2,14,35,-1.321928095,0.030099723
LOC_Os09g33800.2,12,30,-1.321928095,0.042790788
LOC_Os06g38294.1,10,25,-1.321928095,0.061792625
LOC_Os03g14530.1,8,20,-1.321928095,0.0909175
LOC_Os09g38100.1,6,15,-1.321928095,0.187440565
LOC_Os04g59520.1,4,10,-1.321928095,0.28737531
LOC_Os01g01410.1,2,5,-1.321928095,0.471526744
LOC_Os05g51700.3,19,48,-1.337034987,0.006820128
LOC_Os12g40840.3,15,38,-1.341036918,0.018317866
LOC_Os07g01030.1,13,33,-1.343954401,0.026156629
LOC_Os03g31400.1,11,28,-1.347923303,0.051878476
LOC_Os08g06530.1,18,46,-1.353636955,0.007998864
LOC_Os04g35900.1,9,23,-1.353636955,0.074456298
LOC_Os11g13890.2,178,457,-1.360316924,8.49E-18
LOC_Os01g31690.1,211,542,-1.361049853,6.94E-21
LOC_Os12g37410.1,14,36,-1.362570079,0.021954407
LOC_Os07g31300.1,7,18,-1.362570079,0.108966248
LOC_Os03g11010.1,19,49,-1.366782331,0.006834437
LOC_Os02g57450.1,22,57,-1.373458396,0.003011372
LOC_Os05g48630.2,70,182,-1.378511623,3.87E-08
LOC_Os06g09570.1,15,39,-1.378511623,0.013351977
LOC_Os03g49500.2,10,26,-1.378511623,0.044637868
LOC_Os01g01150.2,5,13,-1.378511623,0.16361723
LOC_Os02g48900.1,13,34,-1.387023123,0.019008377
LOC_Os08g29370.2,8,21,-1.392317423,0.091046056
LOC_Os04g52450.2,28,74,-1.402098444,0.000440786
LOC_Os05g42424.1,12,32,-1.415037499,0.02240587
LOC_Os09g36440.1,9,24,-1.415037499,0.05329715
LOC_Os11g04670.2,6,16,-1.415037499,0.132697659
LOC_Os02g50370.1,3,8,-1.415037499,0.365278676
LOC_Os03g17070.1,37,99,-1.419903254,3.06E-05
LOC_Os03g59310.1,19,51,-1.424497829,0.003609021
LOC_Os07g42420.1,16,43,-1.426264755,0.008256052
LOC_Os10g38272.1,10,27,-1.432959407,0.031993586
LOC_Os05g41640.1,63,171,-1.440572591,2.47E-08
LOC_Os01g73170.1,7,19,-1.440572591,0.077160052
LOC_Os11g14180.1,18,49,-1.444784843,0.003085292
LOC_Os03g31134.1,15,41,-1.450661409,0.006977251
LOC_Os10g28200.2,46,126,-1.453717967,1.56E-06
LOC_Os12g33958.1,32,88,-1.459431619,6.63E-05
LOC_Os10g34750.1,8,22,-1.459431619,0.06460038
LOC_Os08g13920.1,4,11,-1.459431619,0.198818164
LOC_Os06g43660.3,119,328,-1.462734241,4.25E-15
LOC_Os04g51280.1,17,47,-1.46712601,0.003591764
LOC_Os07g09060.3,13,36,-1.469485283,0.0137293
LOC_Os04g50120.1,10,28,-1.485426827,0.022768437
LOC_Os02g52340.1,5,14,-1.485426827,0.164529138
LOC_Os08g34220.1,11,31,-1.494764692,0.019010871
LOC_Os08g40830.1,6,17,-1.502500341,0.092691751
LOC_Os02g04840.1,13,37,-1.509013647,0.009749401
LOC_Os11g32240.1,7,20,-1.514573173,0.054100581
LOC_Os04g58280.2,51,146,-1.517399217,7.92E-08
LOC_Os02g12850.1,15,43,-1.519374159,0.003575875
LOC_Os07g05480.1,23,66,-1.520832163,0.000373515
LOC_Os01g48300.3,16,46,-1.523561956,0.003015154
LOC_Os05g45210.1,8,23,-1.523561956,0.045350422
LOC_Os08g44290.1,17,49,-1.527247003,0.001836448
LOC_Os03g05780.1,9,26,-1.530514717,0.026598507
LOC_Os06g01850.1,95,275,-1.5334322,5.37E-14
LOC_Os05g14180.1,22,64,-1.540568381,0.000307521
LOC_Os01g42260.1,12,35,-1.544320516,0.008082118
LOC_Os03g59340.1,37,108,-1.545434137,2.26E-06
LOC_Os07g36080.3,76,222,-1.546488353,1.12E-11
LOC_Os03g50860.1,15,44,-1.552541023,0.003586896
LOC_Os01g60230.4,17,50,-1.556393349,0.001305534
LOC_Os01g57960.1,167,493,-1.561739544,8.18E-25
LOC_Os05g08370.1,30,90,-1.584962501,1.23E-05
LOC_Os10g10180.1,17,51,-1.584962501,0.000924858
LOC_Os01g45750.1,16,48,-1.584962501,0.001504561
LOC_Os08g44850.1,10,30,-1.584962501,0.015971276
LOC_Os03g36540.2,9,27,-1.584962501,0.018576054
LOC_Os03g16910.1,8,24,-1.584962501,0.031533059
LOC_Os05g47446.1,7,21,-1.584962501,0.037602738
LOC_Os01g01640.1,6,18,-1.584962501,0.063991023
LOC_Os01g58870.1,5,15,-1.584962501,0.113305587
LOC_Os05g34270.1,4,12,-1.584962501,0.135439258
LOC_Os10g21236.1,3,9,-1.584962501,0.246833723
LOC_Os06g50170.1,2,6,-1.584962501,0.311186143
LOC_Os01g22640.1,1,3,-1.584962501,0.633460072
LOC_Os02g49680.1,12,37,-1.624490865,0.005742171
LOC_Os08g15230.1,11,34,-1.628031223,0.006535895
LOC_Os01g56670.2,36,112,-1.637429921,3.35E-07
LOC_Os01g67180.1,9,28,-1.637429921,0.012887551
LOC_Os02g49700.1,67,210,-1.648156327,1.79E-12
LOC_Os01g55540.2,110,345,-1.649092838,1.41E-19
LOC_Os08g02630.1,7,22,-1.652076697,0.038010568
LOC_Os01g48500.1,6,19,-1.662965013,0.043726058
LOC_Os06g15400.1,53,168,-1.664396968,2.60E-10
LOC_Os03g03390.1,11,35,-1.669851398,0.004526941
LOC_Os06g39716.1,5,16,-1.678071905,0.076928082
LOC_Os05g48870.1,8,26,-1.700439718,0.014870993
LOC_Os03g10880.2,4,13,-1.700439718,0.091082787
LOC_Os01g43120.1,11,36,-1.710493383,0.003120386
LOC_Os09g13870.3,7,23,-1.716207034,0.02585675
LOC_Os06g51220.2,57,188,-1.721698838,4.39E-12
LOC_Os07g10770.1,26,86,-1.725825037,3.59E-06
LOC_Os09g08880.1,6,20,-1.736965594,0.029612371
LOC_Os06g05120.2,3,10,-1.736965594,0.16356486
LOC_Os03g03720.1,196,666,-1.764668523,5.45E-41
LOC_Os07g34030.2,10,34,-1.765534746,0.003548427
LOC_Os01g13030.1,5,17,-1.765534746,0.051589582
LOC_Os03g16050.1,39,133,-1.769880217,3.02E-09
LOC_Os02g04480.1,7,24,-1.777607579,0.017430631
LOC_Os08g04180.1,9,31,-1.784271309,0.006110345
LOC_Os01g08320.1,22,76,-1.788495895,5.80E-06
LOC_Os06g40640.3,11,38,-1.788495895,0.001463776
LOC_Os03g21560.1,10,35,-1.807354922,0.002402604
LOC_Os03g06230.1,8,28,-1.807354922,0.006823129
LOC_Os08g01360.3,6,21,-1.807354922,0.019898265
LOC_Os09g31380.1,4,14,-1.807354922,0.060597192
LOC_Os01g54390.1,2,7,-1.807354922,0.3149741
LOC_Os06g01210.1,44,155,-1.816692787,4.04E-11
LOC_Os02g57290.1,37,131,-1.823969636,1.20E-09
LOC_Os04g38870.4,24,85,-1.824428435,1.01E-06
LOC_Os06g09880.1,9,32,-1.830074999,0.004103064
LOC_Os08g01380.2,23,82,-1.833990049,1.64E-06
LOC_Os10g35960.1,28,100,-1.836501268,9.63E-08
LOC_Os02g07360.1,14,50,-1.836501268,0.000211987
LOC_Os08g25570.1,7,25,-1.836501268,0.011656238
LOC_Os09g00999.1,339,1213,-1.839222372,1.95E-54
LOC_Os08g40570.1,5,18,-1.847996907,0.034230256
LOC_Os09g29630.1,33,119,-1.850423644,5.88E-09
LOC_Os03g52239.1,49,177,-1.852895706,7.91E-13
LOC_Os03g28330.1,29,105,-1.856264523,4.04E-08
LOC_Os07g43810.1,33,121,-1.874469118,2.68E-09
LOC_Os02g49870.2,6,22,-1.874469118,0.013279996
LOC_Os05g33620.1,3,11,-1.874469118,0.106685653
LOC_Os09g01000.1,8862,32767,-1.88653936,1.25E-55
LOC_Os03g49350.1,48,178,-1.89077093,2.75E-13
LOC_Os03g55930.1,7,26,-1.893084796,0.007739453
LOC_Os01g49370.1,67,249,-1.893912742,4.48E-18
LOC_Os03g50080.1,11,41,-1.898120386,0.000659263
LOC_Os05g07130.2,8,30,-1.906890596,0.003063175
LOC_Os03g45920.1,4,15,-1.906890596,0.039952429
LOC_Os05g29990.1,14,53,-1.920565533,6.44E-05
LOC_Os01g68450.2,5,19,-1.925999419,0.022504659
LOC_Os10g21238.1,6,23,-1.938599455,0.008810317
LOC_Os02g49570.1,14,54,-1.94753258,4.31E-05
LOC_Os06g28194.2,7,27,-1.94753258,0.005106622
LOC_Os03g15020.3,8,31,-1.95419631,0.002038674
LOC_Os01g68700.1,17,66,-1.956931278,6.61E-06
LOC_Os05g51690.1,9,35,-1.959358016,0.001202641
LOC_Os11g29190.5,9,36,-2,0.000791755
LOC_Os10g38900.1,7,28,-2,0.003350879
LOC_Os06g50000.1,5,20,-2,0.014679577
LOC_Os03g43430.1,4,16,-2,0.040157478
LOC_Os03g51610.1,3,12,-2,0.068702408
LOC_Os07g36250.2,2,8,-2,0.201480186
LOC_Os02g56170.1,1,4,-2,0.38910012
LOC_Os03g52860.1,23,93,-2.015596855,3.08E-08
LOC_Os04g37690.1,13,53,-2.027480736,3.09E-05
LOC_Os03g56280.1,11,45,-2.032421478,0.000125717
LOC_Os11g05860.1,8,33,-2.044394119,0.001354293
LOC_Os12g33946.1,41,172,-2.06871275,8.25E-15
LOC_Os04g31700.1,5,21,-2.070389328,0.00951098
LOC_Os01g66500.1,9,38,-2.078002512,0.000339561
LOC_Os06g46284.1,4,17,-2.087462841,0.025758427
LOC_Os02g24354.1,7,30,-2.099535674,0.001422863
LOC_Os04g16680.1,34,147,-2.112209504,3.30E-13
LOC_Os08g03380.1,3,13,-2.115477217,0.043788031
LOC_Os09g35940.1,8,35,-2.129283017,0.000565001
LOC_Os12g23200.1,63,276,-2.131244533,5.82E-24
LOC_Os12g17600.1,75,329,-2.133125083,2.30E-28
LOC_Os01g27940.2,5,22,-2.137503524,0.006126773
LOC_Os01g05080.1,6,27,-2.169925001,0.002376181
LOC_Os04g58550.1,4,18,-2.169925001,0.01636765
LOC_Os03g29470.1,2,9,-2.169925001,0.126330704
LOC_Os02g15750.1,7,32,-2.192645078,0.000595241
LOC_Os05g33840.1,8,37,-2.209453366,0.000232169
LOC_Os10g39930.2,9,42,-2.222392421,6.05E-05
LOC_Os08g44320.1,6,28,-2.222392421,0.001512028
LOC_Os06g42560.3,3,14,-2.222392421,0.02767676
LOC_Os07g41710.2,10,47,-2.232660757,2.35E-05
LOC_Os02g02400.3,94,443,-2.236574037,1.85E-40
LOC_Os04g45600.1,7,33,-2.237039197,0.000383273
LOC_Os02g50960.2,4,19,-2.247927513,0.010318154
LOC_Os12g34094.1,9,43,-2.256339753,6.15E-05
LOC_Os01g70190.1,5,24,-2.263034406,0.002506794
LOC_Os09g24700.1,6,29,-2.273018494,0.000958081
LOC_Os01g66300.1,6,30,-2.321928095,0.000604886
LOC_Os06g40818.1,5,25,-2.321928095,0.001594246
LOC_Os02g03330.1,4,20,-2.321928095,0.006461332
LOC_Os08g01760.1,3,15,-2.321928095,0.017375473
LOC_Os07g26440.1,2,10,-2.321928095,0.077987813
LOC_Os01g07780.1,1,5,-2.321928095,0.234642539
LOC_Os12g19381.1,65,329,-2.339575961,1.80E-32
LOC_Os03g48300.1,10,51,-2.350497247,3.92E-06
LOC_Os02g39890.1,10,52,-2.378511623,2.50E-06
LOC_Os10g25130.1,24,125,-2.380821784,1.60E-13
LOC_Os12g08770.1,37,194,-2.390459477,2.85E-20
LOC_Os01g43630.1,4,21,-2.392317423,0.004023738
LOC_Os02g25060.1,7,37,-2.402098444,9.66E-05
LOC_Os03g25960.1,17,90,-2.404390255,4.91E-10
LOC_Os08g16480.3,6,32,-2.415037499,0.000239009
LOC_Os02g02530.2,3,16,-2.415037499,0.010848261
LOC_Os03g08550.1,5,27,-2.432959407,0.00100742
LOC_Os01g58610.1,4,22,-2.459431619,0.002494254
LOC_Os05g39090.1,2,11,-2.459431619,0.047566949
LOC_Os09g30340.1,23,127,-2.465122731,2.43E-14
LOC_Os01g53150.2,5,28,-2.485426827,0.000620186
LOC_Os08g03290.1,11,62,-2.494764692,9.81E-08
LOC_Os12g04500.1,3,17,-2.502500341,0.006742277
LOC_Os04g38600.3,39,228,-2.547487795,1.19E-25
LOC_Os02g30630.1,7,41,-2.550197083,1.43E-05
LOC_Os05g14240.2,16,95,-2.569855608,1.72E-11
LOC_Os01g33960.1,25,150,-2.584962501,1.57E-17
LOC_Os07g14850.1,5,30,-2.584962501,0.000232645
LOC_Os09g24924.1,3,18,-2.584962501,0.006828698
LOC_Os10g35810.1,2,12,-2.584962501,0.028744269
LOC_Os10g21196.1,1,6,-2.584962501,0.139888856
LOC_Os06g10810.1,8,49,-2.614709844,1.40E-06
LOC_Os03g51600.1,36,224,-2.637429921,2.13E-26
LOC_Os02g51080.1,27,170,-2.654503434,1.42E-20
LOC_Os02g35950.1,3,19,-2.662965013,0.004110632
LOC_Os11g14220.1,16,102,-2.672425342,5.88E-13
LOC_Os02g02840.1,4,26,-2.700439718,0.000356827
LOC_Os03g63420.1,2,13,-2.700439718,0.017247368
LOC_Os08g14440.2,3,20,-2.736965594,0.002461214
LOC_Os01g25600.1,4,27,-2.754887502,0.00021828
LOC_Os01g64660.2,17,115,-2.75802721,5.13E-15
LOC_Os05g06140.1,8,55,-2.781359714,7.27E-08
LOC_Os03g03360.1,10,70,-2.807354922,1.12E-09
LOC_Os06g06410.2,2,14,-2.807354922,0.010293827
LOC_Os01g33204.1,1,7,-2.807354922,0.082789761
LOC_Os07g48410.1,3,22,-2.874469118,0.000871906
LOC_Os03g21230.1,5,37,-2.887525271,7.11E-06
LOC_Os08g38710.1,2,15,-2.906890596,0.006119345
LOC_Os11g04720.2,6,46,-2.938599455,3.89E-07
LOC_Os01g42234.1,3,23,-2.938599455,0.000516783
LOC_Os01g49890.1,2,16,-3,0.003627122
LOC_Os12g01170.1,1,8,-3,0.048759909
LOC_Os08g17390.1,11,89,-3.016301812,4.03E-13
LOC_Os03g52630.1,7,57,-3.025535092,7.81E-09
LOC_Os10g21190.1,9,75,-3.058893689,2.55E-11
LOC_Os03g17174.1,3,25,-3.058893689,0.000180638
LOC_Os09g32810.2,2,17,-3.087462841,0.002145313
LOC_Os08g02120.1,3,27,-3.169925001,6.29E-05
LOC_Os07g46340.1,2,18,-3.169925001,0.001266896
LOC_Os07g38360.2,1,9,-3.169925001,0.028621409
LOC_Os02g53400.1,3,28,-3.222392421,3.71E-05
LOC_Os04g55710.1,4,38,-3.247927513,1.15E-06
LOC_Os03g61330.3,2,19,-3.247927513,0.000747288
LOC_Os05g36270.2,3,30,-3.321928095,1.29E-05
LOC_Os09g32510.5,2,20,-3.321928095,0.000440402
LOC_Os05g36070.1,1,10,-3.321928095,0.028689658
LOC_Os02g47600.2,2,21,-3.392317423,0.000445449
LOC_Os08g42850.1,3,32,-3.415037499,7.80E-06
LOC_Os08g33330.1,1,11,-3.459431619,0.016189655
LOC_Os02g58410.1,2,23,-3.523561956,0.000142827
LOC_Os01g59150.1,6,72,-3.584962501,1.03E-12
LOC_Os02g49230.1,2,24,-3.584962501,8.08E-05
LOC_Os02g08018.1,1,12,-3.584962501,0.009090708
LOC_Os04g51300.1,2,25,-3.64385619,4.57E-05
LOC_Os06g15330.1,4,52,-3.700439718,9.16E-10
LOC_Os04g58700.2,1,13,-3.700439718,0.005088599
LOC_Os02g52650.1,2,28,-3.807354922,8.30E-06
LOC_Os01g55510.1,1,14,-3.807354922,0.002843536
LOC_Os05g49290.2,2,29,-3.857980995,4.71E-06
LOC_Os01g09010.1,1,15,-3.906890596,0.00158802
LOC_Os01g63950.1,1,16,-4,0.000887048
LOC_Os04g49660.1,1,17,-4.087462841,0.000495894
LOC_Os01g73450.1,1,18,-4.169925001,0.000277557
LOC_Os04g52640.2,1,20,-4.321928095,8.73E-05
LOC_Os12g31000.1,2,42,-4.392317423,4.59E-09
LOC_Os09g26810.1,2,44,-4.459431619,1.42E-09
LOC_Os02g47220.2,1,23,-4.523561956,1.56E-05
LOC_Os01g07970.1,1,25,-4.64385619,8.91E-06
LOC_Os10g40700.1,1,31,-4.95419631,2.24E-07
